"","expenditure_category","subcategory","agency","fiscal_year","Categorical.Citywide.Exp","FY_CPI","Adjusted.Categorical.Citywide.Exp","human_services"
"244","General Government","Brooklyn Community Board #16","Brooklyn Community Board #16",2023,288000,299.6855,297499.558704041,FALSE
"245","General Government","Brooklyn Community Board #17","Brooklyn Community Board #17",2023,367000,299.6855,379105.340431886,FALSE
"246","General Government","Brooklyn Community Board #18","Brooklyn Community Board #18",2023,229000,299.6855,236553.468552866,FALSE
"247","General Government","Staten Island Community Board #1","Staten Island Community Board #1",2023,289000,299.6855,298532.543282875,FALSE
"248","General Government","Staten Island Community Board #2","Staten Island Community Board #2",2023,274000,299.6855,283037.774600373,FALSE
"249","General Government","Staten Island Community Board #3","Staten Island Community Board #3",2023,356000,299.6855,367742.510064718,FALSE
"250","General Government","Department of Small Business Services","Department of Small Business Services",2023,344390000,299.6855,355749559.104461,TRUE
"251","General Government","Office of Administrative Trials and Hearings","Office of Administrative Trials and Hearings",2023,55676000,299.6855,57512449.4111327,FALSE
"252","General Government","Business Integrity Commission","Business Integrity Commission",2023,8977000,299.6855,9273102.56418812,FALSE
"253","General Government","Department of Finance","Department of Finance",2023,329921000,299.6855,340803305.23332,FALSE
"254","General Government","Department of Design and Construction","Department of Design and Construction",2023,65887000,299.6855,68060254.9456013,FALSE
"255","General Government","Department of Citywide Administrative Services","Department of Citywide Administrative Services",2023,640713000,299.6855,661846648.458134,FALSE
"256","General Government","Department of Information Technology and Telecommunications","Department of Information Technology and Telecommunications",2023,679624000,299.6855,702041111.405123,FALSE
"257","General Government","Department of Records and Information Services","Department of Records and Information Services",2023,14233000,299.6855,14702469.5105369,FALSE
"258","General Government","Department of Consumer & Worker Protection","Department of Consumer & Worker Protection",2023,64951000,299.6855,67093381.3798132,FALSE
"259","General Government","Miscellaneous--Technology Development Corporation","Miscellaneous--Technology Development Corporation",2023,NA,299.6855,NA,FALSE
"260","Public Safety and Judicial","Department of Emergency Management","Department of Emergency Management",2023,176327000,299.6855,182143071.83197,FALSE
"261","Public Safety and Judicial","Civilian Complaint Review Board","Civilian Complaint Review Board",2023,23685000,299.6855,24466239.7496709,FALSE
"262","Public Safety and Judicial","Police Department","Police Department",2023,6053506000,299.6855,6253178345.87593,FALSE
"263","Public Safety and Judicial","Fire Department","Fire Department",2023,2522972000,299.6855,2606191168.82866,FALSE
"264","Public Safety and Judicial","Department of Correction","Department of Correction",2023,1300969000,299.6855,1343880914.54041,FALSE
