"","expenditure_category","subcategory","category","fiscal_year","Categorical.Citywide.Exp","FY_CPI","Adjusted.Categorical.Citywide.Exp","human_services"
"1477","General Government","Business Integrity Commission","Business Integrity Commission",2014,7259,234.966,9563.83429517462,FALSE
"1478","General Government","Department of Finance","Department of Finance",2014,233046,234.966,307041.373075253,FALSE
"1479","General Government","Department of Design and Construction","Department of Design and Construction",2014,15274,234.966,20123.7091919682,FALSE
"1480","General Government","Department of Citywide Administrative Services","Department of Citywide Administrative Services",2014,385553,234.966,507971.484227505,FALSE
"1481","General Government","Department of Information Technology and Telecommunications","Department of Information Technology and Telecommunications",2014,317194,234.966,417907.543108365,FALSE
"1482","General Government","Department of Records and Information Services","Department of Records and Information Services",2014,5334,234.966,7027.61980031154,FALSE
"1483","General Government","Department of Consumer & Worker Protection","Department of Consumer & Worker Protection",2014,29820,234.966,39288.26817497,FALSE
"1484","General Government","Miscellaneous--Technology Development Corporation","Miscellaneous--Technology Development Corporation",2014,3489,234.966,4596.80642731289,FALSE
"1485","Public Safety and Judicial","Department of Emergency Management","Department of Emergency Management",2014,33889,234.966,44649.2327358001,FALSE
"1486","Public Safety and Judicial","Civilian Complaint Review Board","Civilian Complaint Review Board",2014,11202,234.966,14758.7920890682,FALSE
"1487","Public Safety and Judicial","Police Department","Police Department",2014,4669342,234.966,6151923.56460935,FALSE
"1488","Public Safety and Judicial","Fire Department","Fire Department",2014,1874870,234.966,2470167.51687478,FALSE
"1489","Public Safety and Judicial","Department of Correction","Department of Correction",2014,1097816,234.966,1446387.97500915,FALSE
"1490","Public Safety and Judicial","Board of Correction","Board of Correction",2014,1640,234.966,2160.72299822102,FALSE
"1491","Public Safety and Judicial","Department of Juvenile Justice","Department of Juvenile Justice",2014,NA,234.966,NA,FALSE
"1492","Public Safety and Judicial","NYC Taxi and Limousine Commission","NYC Taxi and Limousine Commission",2014,46331,234.966,61041.7422137671,FALSE
"1493","Public Safety and Judicial","Department of Probation","Department of Probation",2014,73292,234.966,96563.2377961067,FALSE
"1494","Public Safety and Judicial","District Attorney New York County","District Attorney New York County",2014,96424,234.966,127039.972183209,FALSE
"1495","Public Safety and Judicial","District Attorney Bronx County","District Attorney Bronx County",2014,54702,234.966,72070.6521028574,FALSE
"1496","Public Safety and Judicial","District Attorney Kings County","District Attorney Kings County",2014,86841,234.966,114414.235297873,FALSE
"1497","Public Safety and Judicial","District Attorney Queens County","District Attorney Queens County",2014,52907,234.966,69705.7144310241,FALSE
"1498","Public Safety and Judicial","District Attorney Richmond County","District Attorney Richmond County",2014,9249,234.966,12185.6872015526,FALSE
"1499","Public Safety and Judicial","Office of Prosecutor -- Special Narcotics","Office of Prosecutor -- Special Narcotics",2014,18196,234.966,23973.4851680669,FALSE
"1500","Public Safety and Judicial","Public Administrator - New York County","Public Administrator-New York County",2014,1397,234.966,1840.56709055778,FALSE
"1501","Public Safety and Judicial","Public Administrator- Bronx County","Public Administrator-Bronx County",2014,532,234.966,700.917460398526,FALSE
"1502","Public Safety and Judicial","Public Administrator-Kings County","Public Administrator-Kings County",2014,604,234.966,795.778470076522,FALSE
"1503","Public Safety and Judicial","Public Administrator-Queens County","Public Administrator-Queens County",2014,471,234.966,620.54910497689,FALSE
"1504","Public Safety and Judicial","Public Administrator-Richmond County","Public Administrator-Richmond County",2014,450,234.966,592.881310487475,FALSE
"1505","Public Safety and Judicial","Miscellaneous-Contributions Legal Aid","Miscellaneous-Contributions Legal Aid",2014,255685,234.966,336868.573048867,FALSE
"1506","Public Safety and Judicial","Miscellaneous-Criminal Justice Programs","Miscellaneous-Criminal Justice Programs",2014,59604,234.966,78529.105845101,FALSE
"1507","Public Safety and Judicial","Miscellaneous-Other","Miscellaneous-Other",2014,26918,234.966,35464.8424793374,FALSE
"1508","Education","Department of Education","Department of Education",2014,18672173,234.966,24600849.7730863,FALSE
"1509","City University","City University of New York-Community Colleges","City University of New York-Community Colleges",2014,836163,234.966,1101656.4782692,FALSE
"1510","City University","Hunter Campus Schools","Hunter Campus Schools",2014,16757,234.966,22077.5824885303,FALSE
"1511","City University","Educational Aid","Educational Aid",2014,NA,234.966,NA,FALSE
"1512","Social Services","Administration for Children's Services","Administration for Children's Services",2014,2710193,234.966,3570717.2833644,TRUE
"1513","Social Services","Department of Social Services","Department of Social Services",2014,9474918,234.966,12483337.3346697,TRUE
"1514","Social Services","Department of Homeless Services","Department of Homeless Services",2014,1028992,234.966,1355711.38986917,TRUE
"1515","Social Services","Department for the Aging","Department for the Aging",2014,258510,234.966,340590.550164705,TRUE
"1516","Environmental Protection","Department of Environmental Protection","Department of Environmental Protection",2014,1117245,234.966,1471985.95496795,FALSE
"1517","Environmental Protection","Department of Sanitation","Department of Sanitation",2014,1405046,234.966,1851167.8083893,FALSE
"1518","Transportation Services","Department of Transportation","Department of Transportation",2014,657882,234.966,866768.760680269,FALSE
"1519","Transportation Services","Miscellaneous-Payments to Transit Authority","Miscellaneous-Payments to Transit Authority",2014,890724,234.966,1173541.36089477,FALSE
"1520","Transportation Services","Miscellaneous-Payments to Private Bus Companies","Miscellaneous-Payments to Private Bus Companies",2014,1717,234.966,2262.17157801554,FALSE
"1521","Parks, Recreation, and Cultural Activities","Department of Cultural Affairs","Department of Cultural Affairs",2014,153137,234.966,201760.144986934,FALSE
"1522","Parks, Recreation, and Cultural Activities","Department of Parks and Recreation","Department of Parks and Recreation",2014,325786,234.966,429227.623596605,FALSE
"1523","Housing","Housing Preservation and Development","Housing Preservation and Development",2014,670660,234.966,883603.954870066,TRUE
"1524","Housing","Department of Buildings","Department of Buildings",2014,98185,234.966,129360.11437825,FALSE
"1525","Housing","Miscellaneous-Payments to Housing Authority","Miscellaneous-Payments to Housing Authority",2014,60109,234.966,79194.4504268703,TRUE
"1526","Health","Department of Health and Mental Hygiene","Department of Health and Mental Hygiene",2014,1394753,234.966,1837606.63654742,TRUE
"1527","Health","New York City Health and Hospitals Corporation","New York City Health and Hospitals Corporation",2014,227027,234.966,299111.256168978,FALSE
"1528","Libraries","New York Research Libraries","New York Research Libraries",2014,18617,234.966,24528.1585718785,FALSE
"1529","Libraries","New York Public Library","New York Public Library",2014,88955,234.966,117199.459943141,FALSE
"1530","Libraries","Brooklyn Public Library","Brooklyn Public Library",2014,65315,234.966,86053.4284321987,FALSE
"1531","Libraries","Queens Borough Public Library","Queens Borough Public Library",2014,65687,234.966,86543.5436488683,FALSE
"1532","Pensions","Pension Contributions","Pension Contributions",2014,8141099,234.966,10726012.0976184,FALSE
"1533","Judgments and Claims","Judgments and Claims","Judgments and Claims",2014,732222,234.966,964712.7531728,FALSE
"1534","Benefit Payments","Benefit Payments","Benefit Payments",2014,5841923,234.966,7696815.47557093,FALSE
"1535","Lease Payments","Lease Payments","Lease Payments",2014,152613,234.966,201069.767638722,FALSE
"1536","Other","Miscellaneous","Miscellaneous",2014,1793367,234.966,2362786.17143331,FALSE
"1537","Transfers","General Debt Service Fund","Debt Service",2014,1564829,234.966,2061684.15157512,FALSE
"1538","Transfers","Nonmajor Debt Service Funds","Debt Service-Hudson Yards Infrastructure Corporation",2014,76684,234.966,101032.245363159,FALSE
"1539","Transfers","Nonmajor Debt Service Funds","Miscellaneous -Building Aid Revenue Bonds",2014,1886776,234.966,2485853.83883626,FALSE
"1540","Transfers","Nonmajor Debt Service Funds","Miscellaneous -Future Tax Secured",2014,1641311,234.966,2162450.25910557,FALSE
"1541","General Government","Mayoralty","Mayoralty",2013,81031,230.608,108777.005572226,FALSE
"1542","General Government","Board of Elections","Board of Elections",2013,107472,230.608,144271.727398876,FALSE
"1543","General Government","Campaign Finance Board","Campaign Finance Board",2013,9618,230.608,12911.3208474988,FALSE
"1544","General Government","Office of the Actuary","Office of the Actuary",2013,5703,230.608,7655.77695916881,FALSE
"1545","General Government","Borough President-Manhattan","Borough President-Manhattan",2013,4428,230.608,5944.20136335253,FALSE
"1546","General Government","Borough President-Bronx","Borough President-Bronx",2013,4982,230.608,6687.8977398876,FALSE
"1547","General Government","Borough President-Brooklyn","Borough President-Brooklyn",2013,5187,230.608,6963.09224745022,FALSE
"1548","General Government","Borough President-Queens","Borough President-Queens",2013,4584,230.608,6153.61767154652,FALSE
"1549","General Government","Borough President-Staten Island","Borough President-Staten Island",2013,3904,230.608,5240.77735377784,FALSE
"1550","General Government","Office of the Comptroller","Office of the Comptroller",2013,61238,230.608,82206.6402639978,FALSE
"1551","General Government","Office of Administrative Tax Appeals","Office of Administrative Tax Appeals",2013,4247,230.608,5701.22474935822,FALSE
"1552","General Government","Law Department","Law Department",2013,133663,230.608,179430.846167522,FALSE
"1553","General Government","Department of City Planning","Department of City Planning",2013,20928,230.608,28094.0031915632,FALSE
"1554","General Government","Department of Investigation","Department of Investigation",2013,30594,230.608,41069.7598261986,FALSE
"1555","General Government","Department of Veterans Service","Department of Veterans Service",2013,NA,230.608,NA,FALSE
"1556","General Government","Public Advocate","Public Advocate",2013,2241,230.608,3008.34581194061,FALSE
"1557","General Government","City Council","City Council",2013,51590,230.608,69255.0470495386,FALSE
"1558","General Government","City Clerk","City Clerk",2013,4407,230.608,5916.01070648026,FALSE
"1559","General Government","Financial Information Services Agency","Financial Information Services Agency",2013,77346,230.608,103830.216497259,FALSE
"1560","General Government","Office of Payroll Administration","Office of Payroll Administration",2013,11033,230.608,14810.8341557969,FALSE
"1561","General Government","Independent Budget Office","Independent Budget Office",2013,3889,230.608,5220.64117029765,FALSE
"1562","General Government","Equal Employment Practices Commission","Equal Employment Practices Commission",2013,419,230.608,562.470725213349,FALSE
"1563","General Government","Civil Service Commission","Civil Service Commission",2013,767,230.608,1029.63018195379,FALSE
"1564","General Government","Landmarks Preservation Commission","Landmarks Preservation Commission",2013,4448,230.608,5971.04960799279,FALSE
"1565","General Government","Districting Commission","Districting Commission",2013,1381,230.608,1853.87129240963,FALSE
"1566","General Government","Commission on Human Rights","Commission on Human Rights",2013,5936,230.608,7968.55900922778,TRUE
"1567","General Government","Department of Youth and Community Development","Department of Youth and Community Development",2013,307731,230.608,413101.858569521,TRUE
"1568","General Government","Conflicts of Interest Board","Conflicts of Interest Board",2013,2032,230.608,2727.78165544994,FALSE
"1569","General Government","Office of Collective Bargaining","Office of Collective Bargaining",2013,2106,230.608,2827.12016061889,FALSE
"1570","General Government","Manhattan Community Board #1","Manhattan Community Board #1",2013,229,230.608,307.412401130924,FALSE
"1571","General Government","Manhattan Community Board #2","Manhattan Community Board #2",2013,269,230.608,361.108890411434,FALSE
"1572","General Government","Manhattan Community Board #3","Manhattan Community Board #3",2013,335,230.608,449.708097724277,FALSE
"1573","General Government","Manhattan Community Board #4","Manhattan Community Board #4",2013,281,230.608,377.217837195587,FALSE
"1574","General Government","Manhattan Community Board #5","Manhattan Community Board #5",2013,254,230.608,340.972706931243,FALSE
"1575","General Government","Manhattan Community Board #6","Manhattan Community Board #6",2013,308,230.608,413.462967459932,FALSE
"1576","General Government","Manhattan Community Board #7","Manhattan Community Board #7",2013,316,230.608,424.202265316034,FALSE
"1577","General Government","Manhattan Community Board #8","Manhattan Community Board #8",2013,344,230.608,461.789807812392,FALSE
"1578","General Government","Manhattan Community Board #9","Manhattan Community Board #9",2013,225,230.608,302.042752202872,FALSE
"1579","General Government","Manhattan Community Board #10","Manhattan Community Board #10",2013,214,230.608,287.276217650732,FALSE
"1580","General Government","Manhattan Community Board #11","Manhattan Community Board #11",2013,268,230.608,359.766478179421,FALSE
"1581","General Government","Manhattan Community Board #12","Manhattan Community Board #12",2013,192,230.608,257.743148546451,FALSE
"1582","General Government","Bronx Community Board #1","Bronx Community Board #1",2013,258,230.608,346.342355859294,FALSE
"1583","General Government","Bronx Community Board #2","Bronx Community Board #2",2013,237,230.608,318.151698987026,FALSE
"1584","General Government","Bronx Community Board #3","Bronx Community Board #3",2013,259,230.608,347.684768091307,FALSE
"1585","General Government","Bronx Community Board #4","Bronx Community Board #4",2013,231,230.608,310.097225594949,FALSE
"1586","General Government","Bronx Community Board #5","Bronx Community Board #5",2013,216,230.608,289.961042114758,FALSE
"1587","General Government","Bronx Community Board #6","Bronx Community Board #6",2013,202,230.608,271.167270866579,FALSE
"1588","General Government","Bronx Community Board #7","Bronx Community Board #7",2013,203,230.608,272.509683098592,FALSE
"1589","General Government","Bronx Community Board #8","Bronx Community Board #8",2013,255,230.608,342.315119163255,FALSE
"1590","General Government","Bronx Community Board #9","Bronx Community Board #9",2013,222,230.608,298.015515506834,FALSE
"1591","General Government","Bronx Community Board #10","Bronx Community Board #10",2013,270,230.608,362.451302643447,FALSE
"1592","General Government","Bronx Community Board #11","Bronx Community Board #11",2013,248,230.608,332.918233539166,FALSE
"1593","General Government","Bronx Community Board #12","Bronx Community Board #12",2013,206,230.608,276.53691979463,FALSE
"1594","General Government","Queens Community Board #1","Queens Community Board #1",2013,172,230.608,230.894903906196,FALSE
"1595","General Government","Queens Community Board #2","Queens Community Board #2",2013,271,230.608,363.79371487546,FALSE
"1596","General Government","Queens Community Board #3","Queens Community Board #3",2013,265,230.608,355.739241483383,FALSE
"1597","General Government","Queens Community Board #4","Queens Community Board #4",2013,225,230.608,302.042752202872,FALSE
"1598","General Government","Queens Community Board #5","Queens Community Board #5",2013,231,230.608,310.097225594949,FALSE
"1599","General Government","Queens Community Board #6","Queens Community Board #6",2013,265,230.608,355.739241483383,FALSE
"1600","General Government","Queens Community Board #7","Queens Community Board #7",2013,262,230.608,351.712004787345,FALSE
"1601","General Government","Queens Community Board #8","Queens Community Board #8",2013,261,230.608,350.369592555332,FALSE
"1602","General Government","Queens Community Board #9","Queens Community Board #9",2013,201,230.608,269.824858634566,FALSE
"1603","General Government","Queens Community Board #10","Queens Community Board #10",2013,240,230.608,322.178935683064,FALSE
"1604","General Government","Queens Community Board #11","Queens Community Board #11",2013,252,230.608,338.287882467217,FALSE
"1605","General Government","Queens Community Board #12","Queens Community Board #12",2013,223,230.608,299.357927738847,FALSE
"1606","General Government","Queens Community Board #13","Queens Community Board #13",2013,238,230.608,319.494111219038,FALSE
"1607","General Government","Queens Community Board #14","Queens Community Board #14",2013,222,230.608,298.015515506834,FALSE
"1608","General Government","Brooklyn Community Board #1","Brooklyn Community Board #1",2013,272,230.608,365.136127107472,FALSE
"1609","General Government","Brooklyn Community Board #2","Brooklyn Community Board #2",2013,246,230.608,330.233409075141,FALSE
"1610","General Government","Brooklyn Community Board #3","Brooklyn Community Board #3",2013,235,230.608,315.466874523,FALSE
"1611","General Government","Brooklyn Community Board #4","Brooklyn Community Board #4",2013,253,230.608,339.63029469923,FALSE
"1612","General Government","Brooklyn Community Board #5","Brooklyn Community Board #5",2013,196,230.608,263.112797474502,FALSE
"1613","General Government","Brooklyn Community Board #6","Brooklyn Community Board #6",2013,190,230.608,255.058324082426,FALSE
"1614","General Government","Brooklyn Community Board #7","Brooklyn Community Board #7",2013,207,230.608,277.879332026643,FALSE
"1615","General Government","Brooklyn Community Board #8","Brooklyn Community Board #8",2013,252,230.608,338.287882467217,FALSE
"1616","General Government","Brooklyn Community Board #9","Brooklyn Community Board #9",2013,201,230.608,269.824858634566,FALSE
"1617","General Government","Brooklyn Community Board #10","Brooklyn Community Board #10",2013,283,230.608,379.902661659613,FALSE
"1618","General Government","Brooklyn Community Board #11","Brooklyn Community Board #11",2013,234,230.608,314.124462290987,FALSE
"1619","General Government","Brooklyn Community Board #12","Brooklyn Community Board #12",2013,279,230.608,374.533012731562,FALSE
"1620","General Government","Brooklyn Community Board #13","Brooklyn Community Board #13",2013,233,230.608,312.782050058975,FALSE
"1621","General Government","Brooklyn Community Board #14","Brooklyn Community Board #14",2013,277,230.608,371.848188267536,FALSE
"1622","General Government","Brooklyn Community Board #15","Brooklyn Community Board #15",2013,163,230.608,218.813193818081,FALSE
"1623","General Government","Brooklyn Community Board #16","Brooklyn Community Board #16",2013,243,230.608,326.206172379102,FALSE
"1624","General Government","Brooklyn Community Board #17","Brooklyn Community Board #17",2013,188,230.608,252.3734996184,FALSE
"1625","General Government","Brooklyn Community Board #18","Brooklyn Community Board #18",2013,203,230.608,272.509683098592,FALSE
"1626","General Government","Staten Island Community Board #1","Staten Island Community Board #1",2013,237,230.608,318.151698987026,FALSE
"1627","General Government","Staten Island Community Board #2","Staten Island Community Board #2",2013,189,230.608,253.715911850413,FALSE
"1628","General Government","Staten Island Community Board #3","Staten Island Community Board #3",2013,269,230.608,361.108890411434,FALSE
"1629","General Government","Department of Small Business Services","Department of Small Business Services",2013,143950,230.608,193240.240798238,TRUE
"1630","General Government","Office of Administrative Trials and Hearings","Office of Administrative Trials and Hearings",2013,30560,230.608,41024.1178103101,FALSE
"1631","General Government","Business Integrity Commission","Business Integrity Commission",2013,6992,230.608,9386.14632623326,FALSE
"1632","General Government","Department of Finance","Department of Finance",2013,216498,230.608,290629.5634063,FALSE
"1633","General Government","Department of Design and Construction","Department of Design and Construction",2013,36502,230.608,49000.73129293,FALSE
"1634","General Government","Department of Citywide Administrative Services","Department of Citywide Administrative Services",2013,434174,230.608,582840.488421911,FALSE
"1635","General Government","Department of Information Technology and Telecommunications","Department of Information Technology and Telecommunications",2013,283414,230.608,380458.420323666,FALSE
"1636","General Government","Department of Records and Information Services","Department of Records and Information Services",2013,5154,230.608,6918.7926437938,FALSE
"1637","General Government","Department of Consumer & Worker Protection","Department of Consumer & Worker Protection",2013,25362,230.608,34046.2590283078,FALSE
"1638","General Government","Miscellaneous--Technology Development Corporation","Miscellaneous--Technology Development Corporation",2013,1797,230.608,2412.31478092694,FALSE
"1639","Public Safety and Judicial","Department of Emergency Management","Department of Emergency Management",2013,41305,230.608,55448.3372432873,FALSE
"1640","Public Safety and Judicial","Civilian Complaint Review Board","Civilian Complaint Review Board",2013,10608,230.608,14240.3089571914,FALSE
"1641","Public Safety and Judicial","Police Department","Police Department",2013,4658350,230.608,6253426.02099667,FALSE
"1642","Public Safety and Judicial","Fire Department","Fire Department",2013,1828717,230.608,2454892.06968969,FALSE
"1643","Public Safety and Judicial","Department of Correction","Department of Correction",2013,1078061,230.608,1447202.27325591,FALSE
"1644","Public Safety and Judicial","Board of Correction","Board of Correction",2013,1031,230.608,1384.02701120516,FALSE
"1645","Public Safety and Judicial","Department of Juvenile Justice","Department of Juvenile Justice",2013,NA,230.608,NA,FALSE
"1646","Public Safety and Judicial","NYC Taxi and Limousine Commission","NYC Taxi and Limousine Commission",2013,36743,230.608,49324.2526408451,FALSE
"1647","Public Safety and Judicial","Department of Probation","Department of Probation",2013,72527,230.608,97361.1319511899,FALSE
"1648","Public Safety and Judicial","District Attorney New York County","District Attorney New York County",2013,103440,230.608,138859.121279401,FALSE
"1649","Public Safety and Judicial","District Attorney Bronx County","District Attorney Bronx County",2013,51919,230.608,69696.7006738708,FALSE
"1650","Public Safety and Judicial","District Attorney Kings County","District Attorney Kings County",2013,87318,230.608,117216.751274891,FALSE
"1651","Public Safety and Judicial","District Attorney Queens County","District Attorney Queens County",2013,50497,230.608,67787.7904799487,FALSE
"1652","Public Safety and Judicial","District Attorney Richmond County","District Attorney Richmond County",2013,8940,230.608,12001.1653541941,FALSE
"1653","Public Safety and Judicial","Office of Prosecutor -- Special Narcotics","Office of Prosecutor -- Special Narcotics",2013,18146,230.608,24359.4123621037,FALSE
"1654","Public Safety and Judicial","Public Administrator - New York County","Public Administrator-New York County",2013,1335,230.608,1792.12032973704,FALSE
"1655","Public Safety and Judicial","Public Administrator- Bronx County","Public Administrator-Bronx County",2013,538,230.608,722.217780822868,FALSE
"1656","Public Safety and Judicial","Public Administrator-Kings County","Public Administrator-Kings County",2013,531,230.608,712.820895198779,FALSE
"1657","Public Safety and Judicial","Public Administrator-Queens County","Public Administrator-Queens County",2013,449,230.608,602.743092173732,FALSE
"1658","Public Safety and Judicial","Public Administrator-Richmond County","Public Administrator-Richmond County",2013,441,230.608,592.00379431763,FALSE
"1659","Public Safety and Judicial","Miscellaneous-Contributions Legal Aid","Miscellaneous-Contributions Legal Aid",2013,249944,230.608,335527.882918199,FALSE
"1660","Public Safety and Judicial","Miscellaneous-Criminal Justice Programs","Miscellaneous-Criminal Justice Programs",2013,49377,230.608,66284.2887800944,FALSE
"1661","Public Safety and Judicial","Miscellaneous-Other","Miscellaneous-Other",2013,34381,230.608,46153.4749488309,FALSE
"1662","Education","Department of Education","Department of Education",2013,19128734,230.608,25678646.5045185,FALSE
"1663","City University","City University of New York-Community Colleges","City University of New York-Community Colleges",2013,785535,230.608,1054511.79267415,FALSE
"1664","City University","Hunter Campus Schools","Hunter Campus Schools",2013,16356,230.608,21956.4944668008,FALSE
"1665","City University","Educational Aid","Educational Aid",2013,NA,230.608,NA,FALSE
"1666","Social Services","Administration for Children's Services","Administration for Children's Services",2013,2719072,230.608,3650115.51252342,TRUE
"1667","Social Services","Department of Social Services","Department of Social Services",2013,9478836,230.608,12724505.391643,TRUE
"1668","Social Services","Department of Homeless Services","Department of Homeless Services",2013,977189,230.608,1311790.46658832,TRUE
"1669","Social Services","Department for the Aging","Department for the Aging",2013,258207,230.608,346620.23519132,TRUE
"1670","Environmental Protection","Department of Environmental Protection","Department of Environmental Protection",2013,1643135,230.608,2205764.5228483,FALSE
"1671","Environmental Protection","Department of Sanitation","Department of Sanitation",2013,1360158,230.608,1825892.73667002,FALSE
"1672","Transportation Services","Department of Transportation","Department of Transportation",2013,638521,230.608,857158.400797024,FALSE
"1673","Transportation Services","Miscellaneous-Payments to Transit Authority","Miscellaneous-Payments to Transit Authority",2013,842598,230.608,1131113.86186949,FALSE
"1674","Transportation Services","Miscellaneous-Payments to Private Bus Companies","Miscellaneous-Payments to Private Bus Companies",2013,3245,230.608,4356.12769288143,FALSE
"1675","Parks, Recreation, and Cultural Activities","Department of Cultural Affairs","Department of Cultural Affairs",2013,143426,230.608,192536.816788663,FALSE
"1676","Parks, Recreation, and Cultural Activities","Department of Parks and Recreation","Department of Parks and Recreation",2013,337092,230.608,452516.424113647,FALSE
"1677","Housing","Housing Preservation and Development","Housing Preservation and Development",2013,651885,230.608,875098.397865642,TRUE
"1678","Housing","Department of Buildings","Department of Buildings",2013,102224,230.608,137226.748005273,FALSE
"1679","Housing","Miscellaneous-Payments to Housing Authority","Miscellaneous-Payments to Housing Authority",2013,2040,230.608,2738.52095330604,TRUE
"1680","Health","Department of Health and Mental Hygiene","Department of Health and Mental Hygiene",2013,1480287,230.608,1987155.37568948,TRUE
"1681","Health","New York City Health and Hospitals Corporation","New York City Health and Hospitals Corporation",2013,375844,230.608,504537.582928606,FALSE
"1682","Libraries","New York Research Libraries","New York Research Libraries",2013,22277,230.608,29904.9172925484,FALSE
"1683","Libraries","New York Public Library","New York Public Library",2013,111231,230.608,149317.854979012,FALSE
"1684","Libraries","Brooklyn Public Library","Brooklyn Public Library",2013,82739,230.608,111069.845664504,FALSE
"1685","Libraries","Queens Borough Public Library","Queens Borough Public Library",2013,82379,230.608,110586.57726098,FALSE
"1686","Pensions","Pension Contributions","Pension Contributions",2013,8054284,230.608,10812169.3617047,FALSE
"1687","Judgments and Claims","Judgments and Claims","Judgments and Claims",2013,524483,230.608,704072.394682752,FALSE
"1688","Benefit Payments","Benefit Payments","Benefit Payments",2013,3829655,230.608,5140975.71638885,FALSE
"1689","Lease Payments","Lease Payments","Lease Payments",2013,151420,230.608,203268.060171373,FALSE
"1690","Other","Miscellaneous","Miscellaneous",2013,159741,230.608,214438.272353951,FALSE
"1691","Transfers","General Debt Service Fund","Debt Service",2013,5141650,230.608,6902213.85272844,FALSE
"1692","Transfers","Nonmajor Debt Service Funds","Debt Service-Hudson Yards Infrastructure Corporation",2013,32648,230.608,43827.0745507528,FALSE
"1693","Transfers","Nonmajor Debt Service Funds","Miscellaneous -Building Aid Revenue Bonds",2013,344576,230.608,462563.037258031,FALSE
"1694","Transfers","Nonmajor Debt Service Funds","Miscellaneous -Future Tax Secured",2013,1006451,230.608,1351072.13332148,FALSE
"1695","General Government","Mayoralty","Mayoralty",2012,81183,226.596,110910.618426627,FALSE
"1696","General Government","Board of Elections","Board of Elections",2012,109839,226.596,150059.882208865,FALSE
"1697","General Government","Campaign Finance Board","Campaign Finance Board",2012,9645,226.596,13176.8093655669,FALSE
"1698","General Government","Office of the Actuary","Office of the Actuary",2012,5547,226.596,7578.20233808187,FALSE
"1699","General Government","Borough President-Manhattan","Borough President-Manhattan",2012,4541,226.596,6203.82491747427,FALSE
"1700","General Government","Borough President-Bronx","Borough President-Bronx",2012,4863,226.596,6643.73498649579,FALSE
"1701","General Government","Borough President-Brooklyn","Borough President-Brooklyn",2012,5140,226.596,7022.16694028138,FALSE
"1702","General Government","Borough President-Queens","Borough President-Queens",2012,4586,226.596,6265.3030327102,FALSE
"1703","General Government","Borough President-Staten Island","Borough President-Staten Island",2012,3859,226.596,5272.08992656534,FALSE
"1704","General Government","Office of the Comptroller","Office of the Comptroller",2012,59205,226.596,80884.7069454006,FALSE
"1705","General Government","Office of Administrative Tax Appeals","Office of Administrative Tax Appeals",2012,3850,226.596,5259.79430351816,FALSE
"1706","General Government","Law Department","Law Department",2012,124941,226.596,170691.937682042,FALSE
"1707","General Government","Department of City Planning","Department of City Planning",2012,22831,226.596,31191.263310032,FALSE
"1708","General Government","Department of Investigation","Department of Investigation",2012,15341,226.596,20958.5725740966,FALSE
"1709","General Government","Department of Veterans Service","Department of Veterans Service",2012,NA,226.596,NA,FALSE
"1710","General Government","Public Advocate","Public Advocate",2012,2236,226.596,3054.77923705626,FALSE
"1711","General Government","City Council","City Council",2012,51891,226.596,70892.4639490547,FALSE
"1712","General Government","City Clerk","City Clerk",2012,4411,226.596,6026.22147345937,FALSE
"1713","General Government","Financial Information Services Agency","Financial Information Services Agency",2012,74509,226.596,101792.73084697,FALSE
"1714","General Government","Office of Payroll Administration","Office of Payroll Administration",2012,-17782,226.596,-24293.418780561,FALSE
"1715","General Government","Independent Budget Office","Independent Budget Office",2012,3693,226.596,5045.3039903617,FALSE
"1716","General Government","Equal Employment Practices Commission","Equal Employment Practices Commission",2012,627,226.596,856.595072287243,FALSE
"1717","General Government","Civil Service Commission","Civil Service Commission",2012,651,226.596,889.38340041307,FALSE
"1718","General Government","Landmarks Preservation Commission","Landmarks Preservation Commission",2012,4273,226.596,5837.68858673587,FALSE
"1719","General Government","Districting Commission","Districting Commission",2012,NA,226.596,NA,FALSE
"1720","General Government","Commission on Human Rights","Commission on Human Rights",2012,6033,226.596,8242.16598262988,TRUE
"1721","General Government","Department of Youth and Community Development","Department of Youth and Community Development",2012,299967,226.596,409809.01762167,TRUE
"1722","General Government","Conflicts of Interest Board","Conflicts of Interest Board",2012,1960,226.596,2677.71346360924,FALSE
"1723","General Government","Office of Collective Bargaining","Office of Collective Bargaining",2012,2071,226.596,2829.3594811912,FALSE
"1724","General Government","Manhattan Community Board #1","Manhattan Community Board #1",2012,220,226.596,300.559674486752,FALSE
"1725","General Government","Manhattan Community Board #2","Manhattan Community Board #2",2012,273,226.596,372.967232431287,FALSE
"1726","General Government","Manhattan Community Board #3","Manhattan Community Board #3",2012,334,226.596,456.304233084432,FALSE
"1727","General Government","Manhattan Community Board #4","Manhattan Community Board #4",2012,275,226.596,375.69959310844,FALSE
"1728","General Government","Manhattan Community Board #5","Manhattan Community Board #5",2012,253,226.596,345.643625659765,FALSE
"1729","General Government","Manhattan Community Board #6","Manhattan Community Board #6",2012,246,226.596,336.080363289732,FALSE
"1730","General Government","Manhattan Community Board #7","Manhattan Community Board #7",2012,297,226.596,405.755560557115,FALSE
"1731","General Government","Manhattan Community Board #8","Manhattan Community Board #8",2012,335,226.596,457.670413423008,FALSE
"1732","General Government","Manhattan Community Board #9","Manhattan Community Board #9",2012,235,226.596,321.052379565394,FALSE
"1733","General Government","Manhattan Community Board #10","Manhattan Community Board #10",2012,222,226.596,303.292035163904,FALSE
