"","expenditure_category","subcategory","agency","fiscal_year","Categorical.Citywide.Exp","FY_CPI","Adjusted.Categorical.Citywide.Exp","human_services"
"1621","General Government","Brooklyn Community Board #14","Brooklyn Community Board #14",2013,277000,230.608,371848.188267536,FALSE
"1622","General Government","Brooklyn Community Board #15","Brooklyn Community Board #15",2013,163000,230.608,218813.193818081,FALSE
"1623","General Government","Brooklyn Community Board #16","Brooklyn Community Board #16",2013,243000,230.608,326206.172379102,FALSE
"1624","General Government","Brooklyn Community Board #17","Brooklyn Community Board #17",2013,188000,230.608,252373.4996184,FALSE
"1625","General Government","Brooklyn Community Board #18","Brooklyn Community Board #18",2013,203000,230.608,272509.683098592,FALSE
"1626","General Government","Staten Island Community Board #1","Staten Island Community Board #1",2013,237000,230.608,318151.698987026,FALSE
"1627","General Government","Staten Island Community Board #2","Staten Island Community Board #2",2013,189000,230.608,253715.911850413,FALSE
"1628","General Government","Staten Island Community Board #3","Staten Island Community Board #3",2013,269000,230.608,361108.890411434,FALSE
"1629","General Government","Department of Small Business Services","Department of Small Business Services",2013,143950000,230.608,193240240.798238,TRUE
"1630","General Government","Office of Administrative Trials and Hearings","Office of Administrative Trials and Hearings",2013,30560000,230.608,41024117.8103101,FALSE
"1631","General Government","Business Integrity Commission","Business Integrity Commission",2013,6992000,230.608,9386146.32623326,FALSE
"1632","General Government","Department of Finance","Department of Finance",2013,216498000,230.608,290629563.4063,FALSE
"1633","General Government","Department of Design and Construction","Department of Design and Construction",2013,36502000,230.608,49000731.29293,FALSE
"1634","General Government","Department of Citywide Administrative Services","Department of Citywide Administrative Services",2013,434174000,230.608,582840488.421911,FALSE
"1635","General Government","Department of Information Technology and Telecommunications","Department of Information Technology and Telecommunications",2013,283414000,230.608,380458420.323666,FALSE
"1636","General Government","Department of Records and Information Services","Department of Records and Information Services",2013,5154000,230.608,6918792.6437938,FALSE
"1637","General Government","Department of Consumer & Worker Protection","Department of Consumer & Worker Protection",2013,25362000,230.608,34046259.0283078,FALSE
"1638","General Government","Miscellaneous--Technology Development Corporation","Miscellaneous--Technology Development Corporation",2013,1797000,230.608,2412314.78092694,FALSE
"1639","Public Safety and Judicial","Department of Emergency Management","Department of Emergency Management",2013,41305000,230.608,55448337.2432873,FALSE
"1640","Public Safety and Judicial","Civilian Complaint Review Board","Civilian Complaint Review Board",2013,10608000,230.608,14240308.9571914,FALSE
"1641","Public Safety and Judicial","Police Department","Police Department",2013,4658350000,230.608,6253426020.99667,FALSE
"1642","Public Safety and Judicial","Fire Department","Fire Department",2013,1828717000,230.608,2454892069.68969,FALSE
"1643","Public Safety and Judicial","Department of Correction","Department of Correction",2013,1078061000,230.608,1447202273.25591,FALSE
"1644","Public Safety and Judicial","Board of Correction","Board of Correction",2013,1031000,230.608,1384027.01120516,FALSE
"1645","Public Safety and Judicial","Department of Juvenile Justice","Department of Juvenile Justice",2013,NA,230.608,NA,FALSE
"1646","Public Safety and Judicial","NYC Taxi and Limousine Commission","NYC Taxi and Limousine Commission",2013,36743000,230.608,49324252.6408451,FALSE
"1647","Public Safety and Judicial","Department of Probation","Department of Probation",2013,72527000,230.608,97361131.9511899,FALSE
"1648","Public Safety and Judicial","District Attorney New York County","District Attorney New York County",2013,103440000,230.608,138859121.279401,FALSE
"1649","Public Safety and Judicial","District Attorney Bronx County","District Attorney Bronx County",2013,51919000,230.608,69696700.6738708,FALSE
"1650","Public Safety and Judicial","District Attorney Kings County","District Attorney Kings County",2013,87318000,230.608,117216751.274891,FALSE
"1651","Public Safety and Judicial","District Attorney Queens County","District Attorney Queens County",2013,50497000,230.608,67787790.4799487,FALSE
"1652","Public Safety and Judicial","District Attorney Richmond County","District Attorney Richmond County",2013,8940000,230.608,12001165.3541941,FALSE
"1653","Public Safety and Judicial","Office of Prosecutor -- Special Narcotics","Office of Prosecutor -- Special Narcotics",2013,18146000,230.608,24359412.3621037,FALSE
"1654","Public Safety and Judicial","Public Administrator - New York County","Public Administrator-New York County",2013,1335000,230.608,1792120.32973704,FALSE
"1655","Public Safety and Judicial","Public Administrator- Bronx County","Public Administrator-Bronx County",2013,538000,230.608,722217.780822868,FALSE
"1656","Public Safety and Judicial","Public Administrator-Kings County","Public Administrator-Kings County",2013,531000,230.608,712820.895198779,FALSE
"1657","Public Safety and Judicial","Public Administrator-Queens County","Public Administrator-Queens County",2013,449000,230.608,602743.092173732,FALSE
"1658","Public Safety and Judicial","Public Administrator-Richmond County","Public Administrator-Richmond County",2013,441000,230.608,592003.79431763,FALSE
"1659","Public Safety and Judicial","Miscellaneous-Contributions Legal Aid","Miscellaneous-Contributions Legal Aid",2013,249944000,230.608,335527882.918199,FALSE
"1660","Public Safety and Judicial","Miscellaneous-Criminal Justice Programs","Miscellaneous-Criminal Justice Programs",2013,49377000,230.608,66284288.7800944,FALSE
"1661","Public Safety and Judicial","Miscellaneous-Other","Miscellaneous-Other",2013,34381000,230.608,46153474.9488309,FALSE
"1662","Education","Department of Education","Department of Education",2013,19128734000,230.608,25678646504.5185,FALSE
"1663","City University","City University of New York-Community Colleges","City University of New York-Community Colleges",2013,785535000,230.608,1054511792.67415,FALSE
"1664","City University","Hunter Campus Schools","Hunter Campus Schools",2013,16356000,230.608,21956494.4668008,FALSE
"1665","City University","Educational Aid","Educational Aid",2013,NA,230.608,NA,FALSE
"1666","Social Services","Administration for Children's Services","Administration for Children's Services",2013,2719072000,230.608,3650115512.52342,TRUE
"1667","Social Services","Department of Social Services","Department of Social Services",2013,9478836000,230.608,12724505391.643,TRUE
"1668","Social Services","Department of Homeless Services","Department of Homeless Services",2013,977189000,230.608,1311790466.58832,TRUE
"1669","Social Services","Department for the Aging","Department for the Aging",2013,258207000,230.608,346620235.19132,TRUE
"1670","Environmental Protection","Department of Environmental Protection","Department of Environmental Protection",2013,1643135000,230.608,2205764522.8483,FALSE
"1671","Environmental Protection","Department of Sanitation","Department of Sanitation",2013,1360158000,230.608,1825892736.67002,FALSE
"1672","Transportation Services","Department of Transportation","Department of Transportation",2013,638521000,230.608,857158400.797024,FALSE
"1673","Transportation Services","Miscellaneous-Payments to Transit Authority","Miscellaneous-Payments to Transit Authority",2013,842598000,230.608,1131113861.86949,FALSE
"1674","Transportation Services","Miscellaneous-Payments to Private Bus Companies","Miscellaneous-Payments to Private Bus Companies",2013,3245000,230.608,4356127.69288143,FALSE
"1675","Parks, Recreation, and Cultural Activities","Department of Cultural Affairs","Department of Cultural Affairs",2013,143426000,230.608,192536816.788663,FALSE
"1676","Parks, Recreation, and Cultural Activities","Department of Parks and Recreation","Department of Parks and Recreation",2013,337092000,230.608,452516424.113647,FALSE
"1677","Housing","Housing Preservation and Development","Housing Preservation and Development",2013,651885000,230.608,875098397.865642,TRUE
"1678","Housing","Department of Buildings","Department of Buildings",2013,102224000,230.608,137226748.005273,FALSE
"1679","Housing","Miscellaneous-Payments to Housing Authority","Miscellaneous-Payments to Housing Authority",2013,2040000,230.608,2738520.95330604,TRUE
"1680","Health","Department of Health and Mental Hygiene","Department of Health and Mental Hygiene",2013,1480287000,230.608,1987155375.68948,TRUE
"1681","Health","New York City Health and Hospitals Corporation","New York City Health and Hospitals Corporation",2013,375844000,230.608,504537582.928606,FALSE
"1682","Libraries","New York Research Libraries","New York Research Libraries",2013,22277000,230.608,29904917.2925484,FALSE
"1683","Libraries","New York Public Library","New York Public Library",2013,111231000,230.608,149317854.979012,FALSE
"1684","Libraries","Brooklyn Public Library","Brooklyn Public Library",2013,82739000,230.608,111069845.664504,FALSE
"1685","Libraries","Queens Borough Public Library","Queens Borough Public Library",2013,82379000,230.608,110586577.26098,FALSE
"1686","Pensions","Pension Contributions","Pension Contributions",2013,8054284000,230.608,10812169361.7047,FALSE
"1687","Judgments and Claims","Judgments and Claims","Judgments and Claims",2013,524483000,230.608,704072394.682752,FALSE
"1688","Benefit Payments","Benefit Payments","Benefit Payments",2013,3829655000,230.608,5140975716.38885,FALSE
"1689","Lease Payments","Lease Payments","Lease Payments",2013,151420000,230.608,203268060.171373,FALSE
"1690","Other","Miscellaneous","Miscellaneous",2013,159741000,230.608,214438272.353951,FALSE
"1691","Transfers","General Debt Service Fund","Debt Service",2013,5141650000,230.608,6902213852.72844,FALSE
"1692","Transfers","Nonmajor Debt Service Funds","Debt Service-Hudson Yards Infrastructure Corporation",2013,32648000,230.608,43827074.5507528,FALSE
"1693","Transfers","Nonmajor Debt Service Funds","Miscellaneous -Building Aid Revenue Bonds",2013,344576000,230.608,462563037.258031,FALSE
"1694","Transfers","Nonmajor Debt Service Funds","Miscellaneous -Future Tax Secured",2013,1006451000,230.608,1351072133.32148,FALSE
"1695","General Government","Mayoralty","Mayoralty",2012,81183000,226.596,110910618.426627,FALSE
"1696","General Government","Board of Elections","Board of Elections",2012,109839000,226.596,150059882.208865,FALSE
"1697","General Government","Campaign Finance Board","Campaign Finance Board",2012,9645000,226.596,13176809.3655669,FALSE
"1698","General Government","Office of the Actuary","Office of the Actuary",2012,5547000,226.596,7578202.33808187,FALSE
"1699","General Government","Borough President-Manhattan","Borough President-Manhattan",2012,4541000,226.596,6203824.91747427,FALSE
"1700","General Government","Borough President-Bronx","Borough President-Bronx",2012,4863000,226.596,6643734.98649579,FALSE
"1701","General Government","Borough President-Brooklyn","Borough President-Brooklyn",2012,5140000,226.596,7022166.94028138,FALSE
"1702","General Government","Borough President-Queens","Borough President-Queens",2012,4586000,226.596,6265303.0327102,FALSE
"1703","General Government","Borough President-Staten Island","Borough President-Staten Island",2012,3859000,226.596,5272089.92656534,FALSE
"1704","General Government","Office of the Comptroller","Office of the Comptroller",2012,59205000,226.596,80884706.9454006,FALSE
"1705","General Government","Office of Administrative Tax Appeals","Office of Administrative Tax Appeals",2012,3850000,226.596,5259794.30351816,FALSE
"1706","General Government","Law Department","Law Department",2012,124941000,226.596,170691937.682042,FALSE
"1707","General Government","Department of City Planning","Department of City Planning",2012,22831000,226.596,31191263.310032,FALSE
"1708","General Government","Department of Investigation","Department of Investigation",2012,15341000,226.596,20958572.5740966,FALSE
"1709","General Government","Department of Veterans Service","Department of Veterans Service",2012,NA,226.596,NA,FALSE
"1710","General Government","Public Advocate","Public Advocate",2012,2236000,226.596,3054779.23705626,FALSE
"1711","General Government","City Council","City Council",2012,51891000,226.596,70892463.9490547,FALSE
"1712","General Government","City Clerk","City Clerk",2012,4411000,226.596,6026221.47345937,FALSE
"1713","General Government","Financial Information Services Agency","Financial Information Services Agency",2012,74509000,226.596,101792730.84697,FALSE
"1714","General Government","Office of Payroll Administration","Office of Payroll Administration",2012,-17782000,226.596,-24293418.780561,FALSE
"1715","General Government","Independent Budget Office","Independent Budget Office",2012,3693000,226.596,5045303.9903617,FALSE
"1716","General Government","Equal Employment Practices Commission","Equal Employment Practices Commission",2012,627000,226.596,856595.072287243,FALSE
"1717","General Government","Civil Service Commission","Civil Service Commission",2012,651000,226.596,889383.40041307,FALSE
"1718","General Government","Landmarks Preservation Commission","Landmarks Preservation Commission",2012,4273000,226.596,5837688.58673586,FALSE
"1719","General Government","Districting Commission","Districting Commission",2012,NA,226.596,NA,FALSE
"1720","General Government","Commission on Human Rights","Commission on Human Rights",2012,6033000,226.596,8242165.98262988,TRUE
"1721","General Government","Department of Youth and Community Development","Department of Youth and Community Development",2012,299967000,226.596,409809017.62167,TRUE
"1722","General Government","Conflicts of Interest Board","Conflicts of Interest Board",2012,1960000,226.596,2677713.46360924,FALSE
"1723","General Government","Office of Collective Bargaining","Office of Collective Bargaining",2012,2071000,226.596,2829359.4811912,FALSE
"1724","General Government","Manhattan Community Board #1","Manhattan Community Board #1",2012,220000,226.596,300559.674486752,FALSE
"1725","General Government","Manhattan Community Board #2","Manhattan Community Board #2",2012,273000,226.596,372967.232431287,FALSE
"1726","General Government","Manhattan Community Board #3","Manhattan Community Board #3",2012,334000,226.596,456304.233084432,FALSE
"1727","General Government","Manhattan Community Board #4","Manhattan Community Board #4",2012,275000,226.596,375699.59310844,FALSE
"1728","General Government","Manhattan Community Board #5","Manhattan Community Board #5",2012,253000,226.596,345643.625659765,FALSE
"1729","General Government","Manhattan Community Board #6","Manhattan Community Board #6",2012,246000,226.596,336080.363289731,FALSE
"1730","General Government","Manhattan Community Board #7","Manhattan Community Board #7",2012,297000,226.596,405755.560557115,FALSE
"1731","General Government","Manhattan Community Board #8","Manhattan Community Board #8",2012,335000,226.596,457670.413423008,FALSE
"1732","General Government","Manhattan Community Board #9","Manhattan Community Board #9",2012,235000,226.596,321052.379565394,FALSE
"1733","General Government","Manhattan Community Board #10","Manhattan Community Board #10",2012,222000,226.596,303292.035163904,FALSE
"1734","General Government","Manhattan Community Board #11","Manhattan Community Board #11",2012,264000,226.596,360671.609384102,FALSE
"1735","General Government","Manhattan Community Board #12","Manhattan Community Board #12",2012,206000,226.596,281433.149746686,FALSE
"1736","General Government","Bronx Community Board #1","Bronx Community Board #1",2012,255000,226.596,348375.986336917,FALSE
"1737","General Government","Bronx Community Board #2","Bronx Community Board #2",2012,244000,226.596,333348.002612579,FALSE
"1738","General Government","Bronx Community Board #3","Bronx Community Board #3",2012,250000,226.596,341545.084644036,FALSE
"1739","General Government","Bronx Community Board #4","Bronx Community Board #4",2012,207000,226.596,282799.330085262,FALSE
"1740","General Government","Bronx Community Board #5","Bronx Community Board #5",2012,207000,226.596,282799.330085262,FALSE
"1741","General Government","Bronx Community Board #6","Bronx Community Board #6",2012,203000,226.596,277334.608730957,FALSE
"1742","General Government","Bronx Community Board #7","Bronx Community Board #7",2012,258000,226.596,352474.527352645,FALSE
"1743","General Government","Bronx Community Board #8","Bronx Community Board #8",2012,254000,226.596,347009.805998341,FALSE
"1744","General Government","Bronx Community Board #9","Bronx Community Board #9",2012,225000,226.596,307390.576179632,FALSE
"1745","General Government","Bronx Community Board #10","Bronx Community Board #10",2012,269000,226.596,367502.511076983,FALSE
"1746","General Government","Bronx Community Board #11","Bronx Community Board #11",2012,245000,226.596,334714.182951155,FALSE
"1747","General Government","Bronx Community Board #12","Bronx Community Board #12",2012,207000,226.596,282799.330085262,FALSE
"1748","General Government","Queens Community Board #1","Queens Community Board #1",2012,174000,226.596,237715.378912249,FALSE
"1749","General Government","Queens Community Board #2","Queens Community Board #2",2012,266000,226.596,363403.970061254,FALSE
"1750","General Government","Queens Community Board #3","Queens Community Board #3",2012,259000,226.596,353840.707691221,FALSE
"1751","General Government","Queens Community Board #4","Queens Community Board #4",2012,244000,226.596,333348.002612579,FALSE
"1752","General Government","Queens Community Board #5","Queens Community Board #5",2012,238000,226.596,325150.920581122,FALSE
"1753","General Government","Queens Community Board #6","Queens Community Board #6",2012,243000,226.596,331981.822274003,FALSE
"1754","General Government","Queens Community Board #7","Queens Community Board #7",2012,275000,226.596,375699.59310844,FALSE
"1755","General Government","Queens Community Board #8","Queens Community Board #8",2012,272000,226.596,371601.052092711,FALSE
"1756","General Government","Queens Community Board #9","Queens Community Board #9",2012,206000,226.596,281433.149746686,FALSE
"1757","General Government","Queens Community Board #10","Queens Community Board #10",2012,242000,226.596,330615.641935427,FALSE
"1758","General Government","Queens Community Board #11","Queens Community Board #11",2012,255000,226.596,348375.986336917,FALSE
"1759","General Government","Queens Community Board #12","Queens Community Board #12",2012,220000,226.596,300559.674486752,FALSE
"1760","General Government","Queens Community Board #13","Queens Community Board #13",2012,247000,226.596,337446.543628308,FALSE
"1761","General Government","Queens Community Board #14","Queens Community Board #14",2012,227000,226.596,310122.936856785,FALSE
"1762","General Government","Brooklyn Community Board #1","Brooklyn Community Board #1",2012,273000,226.596,372967.232431287,FALSE
"1763","General Government","Brooklyn Community Board #2","Brooklyn Community Board #2",2012,240000,226.596,327883.281258275,FALSE
"1764","General Government","Brooklyn Community Board #3","Brooklyn Community Board #3",2012,215000,226.596,293728.772793871,FALSE
"1765","General Government","Brooklyn Community Board #4","Brooklyn Community Board #4",2012,256000,226.596,349742.166675493,FALSE
"1766","General Government","Brooklyn Community Board #5","Brooklyn Community Board #5",2012,204000,226.596,278700.789069533,FALSE
"1767","General Government","Brooklyn Community Board #6","Brooklyn Community Board #6",2012,201000,226.596,274602.248053805,FALSE
"1768","General Government","Brooklyn Community Board #7","Brooklyn Community Board #7",2012,206000,226.596,281433.149746686,FALSE
"1769","General Government","Brooklyn Community Board #8","Brooklyn Community Board #8",2012,247000,226.596,337446.543628308,FALSE
"1770","General Government","Brooklyn Community Board #9","Brooklyn Community Board #9",2012,181000,226.596,247278.641282282,FALSE
"1771","General Government","Brooklyn Community Board #10","Brooklyn Community Board #10",2012,271000,226.596,370234.871754135,FALSE
"1772","General Government","Brooklyn Community Board #11","Brooklyn Community Board #11",2012,231000,226.596,315587.658211089,FALSE
"1773","General Government","Brooklyn Community Board #12","Brooklyn Community Board #12",2012,265000,226.596,362037.789722678,FALSE
"1774","General Government","Brooklyn Community Board #13","Brooklyn Community Board #13",2012,244000,226.596,333348.002612579,FALSE
"1775","General Government","Brooklyn Community Board #14","Brooklyn Community Board #14",2012,275000,226.596,375699.59310844,FALSE
"1776","General Government","Brooklyn Community Board #15","Brooklyn Community Board #15",2012,171000,226.596,233616.837896521,FALSE
"1777","General Government","Brooklyn Community Board #16","Brooklyn Community Board #16",2012,247000,226.596,337446.543628308,FALSE
"1778","General Government","Brooklyn Community Board #17","Brooklyn Community Board #17",2012,282000,226.596,385262.855478473,FALSE
"1779","General Government","Brooklyn Community Board #18","Brooklyn Community Board #18",2012,205000,226.596,280066.96940811,FALSE
"1780","General Government","Staten Island Community Board #1","Staten Island Community Board #1",2012,240000,226.596,327883.281258275,FALSE
"1781","General Government","Staten Island Community Board #2","Staten Island Community Board #2",2012,207000,226.596,282799.330085262,FALSE
"1782","General Government","Staten Island Community Board #3","Staten Island Community Board #3",2012,258000,226.596,352474.527352645,FALSE
"1783","General Government","Department of Small Business Services","Department of Small Business Services",2012,132976000,226.596,181669196.702501,TRUE
"1784","General Government","Office of Administrative Trials and Hearings","Office of Administrative Trials and Hearings",2012,30433000,226.596,41576966.2438878,FALSE
"1785","General Government","Business Integrity Commission","Business Integrity Commission",2012,6764000,226.596,9240843.81012904,FALSE
"1786","General Government","Department of Finance","Department of Finance",2012,214069000,226.596,292456858.898657,FALSE
"1787","General Government","Department of Design and Construction","Department of Design and Construction",2012,20334000,226.596,27779911.0046073,FALSE
"1788","General Government","Department of Citywide Administrative Services","Department of Citywide Administrative Services",2012,356873000,226.596,487552875.968684,FALSE
"1789","General Government","Department of Information Technology and Telecommunications","Department of Information Technology and Telecommunications",2012,283237000,226.596,386952820.557291,FALSE
"1790","General Government","Department of Records and Information Services","Department of Records and Information Services",2012,4882000,226.596,6669692.41292874,FALSE
"1791","General Government","Department of Consumer & Worker Protection","Department of Consumer & Worker Protection",2012,24088000,226.596,32908551.9956222,FALSE
"1792","General Government","Miscellaneous--Technology Development Corporation","Miscellaneous--Technology Development Corporation",2012,NA,226.596,NA,FALSE
"1793","Public Safety and Judicial","Department of Emergency Management","Department of Emergency Management",2012,23298000,226.596,31829269.528147,FALSE
"1794","Public Safety and Judicial","Civilian Complaint Review Board","Civilian Complaint Review Board",2012,8739000,226.596,11939049.9788169,FALSE
"1795","Public Safety and Judicial","Police Department","Police Department",2012,4631506000,226.596,6327472435.19744,FALSE
"1796","Public Safety and Judicial","Fire Department","Fire Department",2012,1753049000,226.596,2394981076.36057,FALSE
"1797","Public Safety and Judicial","Department of Correction","Department of Correction",2012,1073738000,226.596,1466919744.38207,FALSE
"1798","Public Safety and Judicial","Board of Correction","Board of Correction",2012,9e+05,226.596,1229562.30471853,FALSE
"1799","Public Safety and Judicial","Department of Juvenile Justice","Department of Juvenile Justice",2012,-216000,226.596,-295094.953132447,FALSE
"1800","Public Safety and Judicial","NYC Taxi and Limousine Commission","NYC Taxi and Limousine Commission",2012,31702000,226.596,43310649.0935409,FALSE
"1801","Public Safety and Judicial","Department of Probation","Department of Probation",2012,73553000,226.596,100486662.443291,FALSE
"1802","Public Safety and Judicial","District Attorney New York County","District Attorney New York County",2012,104095000,226.596,142212542.344084,FALSE
"1803","Public Safety and Judicial","District Attorney Bronx County","District Attorney Bronx County",2012,49211000,226.596,67231100.6416706,FALSE
"1804","Public Safety and Judicial","District Attorney Kings County","District Attorney Kings County",2012,86317000,226.596,117924588.284877,FALSE
"1805","Public Safety and Judicial","District Attorney Queens County","District Attorney Queens County",2012,49320000,226.596,67380014.2985754,FALSE
"1806","Public Safety and Judicial","District Attorney Richmond County","District Attorney Richmond County",2012,8690000,226.596,11872107.1422267,FALSE
"1807","Public Safety and Judicial","Office of Prosecutor -- Special Narcotics","Office of Prosecutor -- Special Narcotics",2012,17830000,226.596,24358995.4368127,FALSE
"1808","Public Safety and Judicial","Public Administrator - New York County","Public Administrator-New York County",2012,1184000,226.596,1617557.52087416,FALSE
"1809","Public Safety and Judicial","Public Administrator- Bronx County","Public Administrator-Bronx County",2012,481000,226.596,657132.742855125,FALSE
"1810","Public Safety and Judicial","Public Administrator-Kings County","Public Administrator-Kings County",2012,472000,226.596,644837.11980794,FALSE
"1811","Public Safety and Judicial","Public Administrator-Queens County","Public Administrator-Queens County",2012,421000,226.596,575161.922540557,FALSE
"1812","Public Safety and Judicial","Public Administrator-Richmond County","Public Administrator-Richmond County",2012,376000,226.596,513683.80730463,FALSE
"1813","Public Safety and Judicial","Miscellaneous-Contributions Legal Aid","Miscellaneous-Contributions Legal Aid",2012,242063000,226.596,330701711.296757,FALSE
"1814","Public Safety and Judicial","Miscellaneous-Criminal Justice Programs","Miscellaneous-Criminal Justice Programs",2012,46962000,226.596,64158561.0602129,FALSE
"1815","Public Safety and Judicial","Miscellaneous-Other","Miscellaneous-Other",2012,35912000,226.596,49062268.3189465,FALSE
"1816","Education","Department of Education","Department of Education",2012,19129084000,226.596,26133778455.7715,FALSE
"1817","City University","City University of New York-Community Colleges","City University of New York-Community Colleges",2012,734455000,226.596,1003397980.56894,FALSE
"1818","City University","Hunter Campus Schools","Hunter Campus Schools",2012,16021000,226.596,21887575.2043284,FALSE
"1819","City University","Educational Aid","Educational Aid",2012,NA,226.596,NA,FALSE
"1820","Social Services","Administration for Children's Services","Administration for Children's Services",2012,2797252000,226.596,3821550684.4428,TRUE
"1821","Social Services","Department of Social Services","Department of Social Services",2012,9373482000,226.596,12805866812.3974,TRUE
"1822","Social Services","Department of Homeless Services","Department of Homeless Services",2012,842409000,226.596,1150882612.83959,TRUE
"1823","Social Services","Department for the Aging","Department for the Aging",2012,245950000,226.596,336012054.272803,TRUE
"1824","Environmental Protection","Department of Environmental Protection","Department of Environmental Protection",2012,976718000,226.596,1334372927.93341,FALSE
"1825","Environmental Protection","Department of Sanitation","Department of Sanitation",2012,1269492000,226.596,1734355010.37971,FALSE
"1826","Transportation Services","Department of Transportation","Department of Transportation",2012,641588000,226.596,876524911.066391,FALSE
"1827","Transportation Services","Miscellaneous-Payments to Transit Authority","Miscellaneous-Payments to Transit Authority",2012,798442000,226.596,1090815761.89341,FALSE
"1828","Transportation Services","Miscellaneous-Payments to Private Bus Companies","Miscellaneous-Payments to Private Bus Companies",2012,3670000,226.596,5013881.84257445,FALSE
"1829","Parks, Recreation, and Cultural Activities","Department of Cultural Affairs","Department of Cultural Affairs",2012,145682000,226.596,199027884.08445,FALSE
"1830","Parks, Recreation, and Cultural Activities","Department of Parks and Recreation","Department of Parks and Recreation",2012,286259000,226.596,391081417.540469,FALSE
"1831","Housing","Housing Preservation and Development","Housing Preservation and Development",2012,714364000,226.596,975950051.386609,TRUE
"1832","Housing","Department of Buildings","Department of Buildings",2012,94578000,226.596,129210604.061855,FALSE
"1833","Housing","Miscellaneous-Payments to Housing Authority","Miscellaneous-Payments to Housing Authority",2012,2103000,226.596,2873077.25202563,TRUE
"1834","Health","Department of Health and Mental Hygiene","Department of Health and Mental Hygiene",2012,1528519000,226.596,2088232604.94007,TRUE
"1835","Health","New York City Health and Hospitals Corporation","New York City Health and Hospitals Corporation",2012,79515000,226.596,108631829.621882,FALSE
"1836","Libraries","New York Research Libraries","New York Research Libraries",2012,15339000,226.596,20955840.2134195,FALSE
"1837","Libraries","New York Public Library","New York Public Library",2012,73409000,226.596,100289932.474536,FALSE
"1838","Libraries","Brooklyn Public Library","Brooklyn Public Library",2012,55426000,226.596,75721911.4459214,FALSE
"1839","Libraries","Queens Borough Public Library","Queens Borough Public Library",2012,55190000,226.596,75399492.8860174,FALSE
"1840","Pensions","Pension Contributions","Pension Contributions",2012,7830440000,226.596,10697793170.4002,FALSE
"1841","Judgments and Claims","Judgments and Claims","Judgments and Claims",2012,582868000,226.596,796302801.5852,FALSE
"1842","Benefit Payments","Benefit Payments","Benefit Payments",2012,3879655000,226.596,5300308381.45863,FALSE
"1843","Lease Payments","Lease Payments","Lease Payments",2012,137659000,226.596,188067019.228053,FALSE
"1844","Other","Miscellaneous","Miscellaneous",2012,122069000,226.596,166768267.749651,FALSE
"1845","Transfers","General Debt Service Fund","Debt Service",2012,2360504000,226.596,3224874153.93034,FALSE
"1846","Transfers","Nonmajor Debt Service Funds","Debt Service-Hudson Yards Infrastructure Corporation",2012,262622000,226.596,358789012.877544,FALSE
"1847","Transfers","Nonmajor Debt Service Funds","Miscellaneous -Building Aid Revenue Bonds",2012,1087584000,226.596,1485835877.35,FALSE
"1848","Transfers","Nonmajor Debt Service Funds","Miscellaneous -Future Tax Secured",2012,616864000,226.596,842747468.375435,FALSE
"1849","General Government","Mayoralty","Mayoralty",2011,81860000,221.237,114544502.32104,FALSE
"1850","General Government","Board of Elections","Board of Elections",2011,102823000,221.237,143877465.943762,FALSE
"1851","General Government","Campaign Finance Board","Campaign Finance Board",2011,11279000,221.237,15782402.170523,FALSE
"1852","General Government","Office of the Actuary","Office of the Actuary",2011,4981000,221.237,6969779.69779015,FALSE
"1853","General Government","Borough President-Manhattan","Borough President-Manhattan",2011,4353000,221.237,6091036.14223661,FALSE
"1854","General Government","Borough President-Bronx","Borough President-Bronx",2011,4861000,221.237,6801866.91647419,FALSE
"1855","General Government","Borough President-Brooklyn","Borough President-Brooklyn",2011,5374000,221.237,7519694.05659994,FALSE
"1856","General Government","Borough President-Queens","Borough President-Queens",2011,4699000,221.237,6575184.66169764,FALSE
"1857","General Government","Borough President-Staten Island","Borough President-Staten Island",2011,3770000,221.237,5275259.87967655,FALSE
"1858","General Government","Office of the Comptroller","Office of the Comptroller",2011,54371000,221.237,76079881.9410858,FALSE
"1859","General Government","Office of Administrative Tax Appeals","Office of Administrative Tax Appeals",2011,3712000,221.237,5194102.03537383,FALSE
"1860","General Government","Law Department","Law Department",2011,121789000,221.237,170416081.03075,FALSE
"1861","General Government","Department of City Planning","Department of City Planning",2011,23589000,221.237,33007454.9871857,FALSE
"1862","General Government","Department of Investigation","Department of Investigation",2011,16296000,221.237,22802555.702708,FALSE
"1863","General Government","Department of Veterans Service","Department of Veterans Service",2011,NA,221.237,NA,FALSE
"1864","General Government","Public Advocate","Public Advocate",2011,2212000,221.237,3095192.26892428,FALSE
"1865","General Government","City Council","City Council",2011,51038000,221.237,71416104.4400349,FALSE
"1866","General Government","City Clerk","City Clerk",2011,4445000,221.237,6219769.27457885,FALSE
"1867","General Government","Financial Information Services Agency","Financial Information Services Agency",2011,46845000,221.237,65548952.0062196,FALSE
"1868","General Government","Office of Payroll Administration","Office of Payroll Administration",2011,56997000,221.237,79754373.3055502,FALSE
"1869","General Government","Independent Budget Office","Independent Budget Office",2011,3397000,221.237,4753330.98441942,FALSE
"1870","General Government","Equal Employment Practices Commission","Equal Employment Practices Commission",2011,722000,221.237,1010275.23425105,FALSE
"1871","General Government","Civil Service Commission","Civil Service Commission",2011,482000,221.237,674449.671619123,FALSE
"1872","General Government","Landmarks Preservation Commission","Landmarks Preservation Commission",2011,4479000,221.237,6267344.56261837,FALSE
