"","expenditure_category","subcategory","agency","fiscal_year","Categorical.Citywide.Exp","FY_CPI","Adjusted.Categorical.Citywide.Exp","human_services"
"133","Transportation Services","Miscellaneous-Payments to Transit Authority","Miscellaneous-Payments to Transit Authority",2023,1085108000,299.6855,1120901640.78008,FALSE
"134","Transportation Services","Miscellaneous-Payments to Private Bus Companies","Miscellaneous-Payments to Private Bus Companies",2023,3573000,299.6855,3690859.86142139,FALSE
"135","Parks, Recreation, and Cultural Activities","Department of Cultural Affairs","Department of Cultural Affairs",2023,243933000,299.6855,251979434.250239,FALSE
"136","Parks, Recreation, and Cultural Activities","Department of Parks and Recreation","Department of Parks and Recreation",2023,500297000,299.6855,516799920.540033,FALSE
"137","Housing","Housing Preservation and Development","Housing Preservation and Development",2023,1299418000,299.6855,1342280923.42806,TRUE
"138","Housing","Department of Buildings","Department of Buildings",2023,190556000,299.6855,196841727.330819,FALSE
"139","Housing","Miscellaneous-Payments to Housing Authority","Miscellaneous-Payments to Housing Authority",2023,1135000,299.6855,1172439.39062784,TRUE
"140","Health","Department of Health and Mental Hygiene","Department of Health and Mental Hygiene",2023,2298928000,299.6855,2374761007.41611,TRUE
"141","Health","New York City Health and Hospitals Corporation","New York City Health and Hospitals Corporation",2023,1784814000,299.6855,1843688315.89783,FALSE
"142","Libraries","New York Research Libraries","New York Research Libraries",2023,32989000,299.6855,34077183.3105038,FALSE
"143","Libraries","New York Public Library","New York Public Library",2023,171242000,299.6855,176890630.951447,FALSE
"144","Libraries","Brooklyn Public Library","Brooklyn Public Library",2023,128347000,299.6855,132580685.875693,FALSE
"145","Libraries","Queens Borough Public Library","Queens Borough Public Library",2023,133613000,299.6855,138020391.453707,FALSE
"146","Pensions","Pension Contributions","Pension Contributions",2023,8988063000,299.6855,9284545468.40938,FALSE
"147","Judgments and Claims","Judgments and Claims","Judgments and Claims",2023,1208575000,299.6855,1248441353.7692,FALSE
"148","Benefit Payments","Benefit Payments","Benefit Payments",2023,7774282000,299.6855,8030726388.237,FALSE
"149","Lease Payments","Lease Payments","Lease Payments",2023,81977000,299.6855,84681113.5907477,FALSE
"150","Other","Miscellaneous","Miscellaneous",2023,3144392000,299.6855,3248113691.96041,FALSE
"151","Transfers","General Debt Service Fund","Debt Service",2023,3584175000,299.6855,3702403482.7344,FALSE
"152","Transfers","Nonmajor Debt Service Funds","Debt Service-Hudson Yards Infrastructure Corporation",2023,NA,299.6855,NA,FALSE
"153","Transfers","Nonmajor Debt Service Funds","Miscellaneous -Building Aid Revenue Bonds",2023,972862000,299.6855,1004953066.47135,FALSE
"154","Transfers","Nonmajor Debt Service Funds","Miscellaneous -Future Tax Secured",2023,3448858000,299.6855,3562622882.71538,FALSE
"155","General Government","Mayoralty","Mayoralty",2022,148152000,282.025,162622330.61608,FALSE
"156","General Government","Board of Elections","Board of Elections",2022,220099000,282.025,241596551.826966,FALSE
"157","General Government","Campaign Finance Board","Campaign Finance Board",2022,45075000,282.025,49477574.0625831,FALSE
"158","General Government","Office of the Actuary","Office of the Actuary",2022,6658000,282.025,7308301.45554472,FALSE
"159","General Government","Borough President-Manhattan","Borough President-Manhattan",2022,5560000,282.025,6103057.38852939,FALSE
"160","General Government","Borough President-Bronx","Borough President-Bronx",2022,5378000,282.025,5903281.04955235,FALSE
"161","General Government","Borough President-Brooklyn","Borough President-Brooklyn",2022,8596000,282.025,9435590.16399255,FALSE
"162","General Government","Borough President-Queens","Borough President-Queens",2022,7076000,282.025,7767128.43187661,FALSE
"163","General Government","Borough President-Staten Island","Borough President-Staten Island",2022,5608000,282.025,6155745.6537541,FALSE
"164","General Government","Office of the Comptroller","Office of the Comptroller",2022,81962000,282.025,89967408.2155837,FALSE
"165","General Government","Office of Administrative Tax Appeals","Office of Administrative Tax Appeals",2022,5938000,282.025,6517977.47717401,FALSE
"166","General Government","Law Department","Law Department",2022,254189000,282.025,279016196.858435,FALSE
"167","General Government","Department of City Planning","Department of City Planning",2022,36239000,282.025,39778542.572467,FALSE
"168","General Government","Department of Investigation","Department of Investigation",2022,43422000,282.025,47663121.928907,FALSE
"169","General Government","Department of Veterans Service","Department of Veterans Service",2022,5717000,282.025,6275391.92270189,FALSE
"170","General Government","Public Advocate","Public Advocate",2022,4728000,282.025,5189794.12463434,FALSE
"171","General Government","City Council","City Council",2022,73952000,282.025,81175053.9562096,FALSE
"172","General Government","City Clerk","City Clerk",2022,5740000,282.025,6300638.38312207,FALSE
"173","General Government","Financial Information Services Agency","Financial Information Services Agency",2022,114076000,282.025,125218052.995302,FALSE
"174","General Government","Office of Payroll Administration","Office of Payroll Administration",2022,15088000,282.025,16561678.0356351,FALSE
"175","General Government","Independent Budget Office","Independent Budget Office",2022,4834000,282.025,5306147.37700559,FALSE
"176","General Government","Equal Employment Practices Commission","Equal Employment Practices Commission",2022,1059000,282.025,1162434.85152026,FALSE
"177","General Government","Civil Service Commission","Civil Service Commission",2022,969000,282.025,1063644.35422392,FALSE
"178","General Government","Landmarks Preservation Commission","Landmarks Preservation Commission",2022,6545000,282.025,7184264.49782821,FALSE
"179","General Government","Districting Commission","Districting Commission",2022,163000,282.025,178920.567325592,FALSE
"180","General Government","Commission on Human Rights","Commission on Human Rights",2022,11177000,282.025,12268682.0920131,TRUE
"181","General Government","Department of Youth and Community Development","Department of Youth and Community Development",2022,809889000,282.025,888992634.053719,TRUE
"182","General Government","Conflicts of Interest Board","Conflicts of Interest Board",2022,2464000,282.025,2704664.28153533,FALSE
"183","General Government","Office of Collective Bargaining","Office of Collective Bargaining",2022,2357000,282.025,2587213.3569719,FALSE
